row_index,text
0,ノートパソコンの動作が非常に遅いです。改善策はありますか？
1,VPNに接続できません。急ぎの対応をお願いします。
2,新しいソフトウェアのインストール許可を申請したいです。
3,パスワードをリセットしたいのですが、方法を教えてください。
4,社内ネットワークにアクセスできなくなりました。
5,モニターの表示に異常があります。画面に線が入ってしまいます。
6,Web会議システムで音声が聞こえないトラブルが発生しています。
7,メールの送受信が突然できなくなりました。
8,セキュリティソフトの更新通知が繰り返し表示されます。どうすればよいですか？
9,プリンターが印刷できず、エラーメッセージが表示されています。
10,オフィスの電球が切れているため、交換をお願いします。
11,会議室の予約システムの使い方を教えてください。
12,事務用品（ボールペン、ノート）の補充をお願いします。
13,来客用の駐車スペースを利用したいのですが、申請方法を教えてください。
14,執務室のエアコンの効きが悪いです。温度調整をお願いします。
15,社内イベントの企画について、総務部に相談があります。
16,郵便物の発送手順について教えてください。
17,オフィス内で財布を紛失しました。落とし物として届いていないでしょうか？
18,社員証を紛失してしまいました。再発行の手続きを教えてください。
19,デスクの椅子が破損しています。交換は可能でしょうか？
20,有給休暇の残日数を確認したいです。
21,年末調整の書類の記入方法について質問があります。
22,育児休業の申請手続きについて詳細を教えてください。
23,健康診断の予約日時を変更したいです。
24,給与明細の控除額について確認したいことがあります。
25,住所変更に伴う手続きについて教えてください。
26,出張時の交通費の精算方法を教えてください。
27,在宅勤務の申請方法について知りたいです。
28,新しい福利厚生制度の詳細について教えてください。
29,退職を検討しており、必要な手続きについて教えてください。
30,PCのセットアップ方法がわかりません。マニュアルはありますか？
31,特定のWebサイトにアクセスすると、セキュリティ警告が表示さ���ます。
32,スマートフォンの社用メール設定方法を教えてください。
33,共有フォルダへのアクセス権限を申請したいです。
34,パソコンの空き容量が少なくなっています。不要なファイルを削除してもよいですか？
35,USBメモリが認識されません。
36,社内Wi-Fiの接続が頻繁に切れます。
37,新しいマウスの購入を申請したいです。
38,ビデオ会議中に映像が固まってしまいます。
39,Excelの関数でエラーが出ます。数式の確認をお願いできますか？
40,シュレッダーが故障しています。修理をお願いします。
41,キャビネットの鍵を紛失しました。合鍵はありますか？
42,社用車の予約方法を教えてください。
43,オフィス内の観葉植物の水やり当番について教えてください。
44,防災訓練の日程について教えてください。
45,社内報に掲載する記事のアイデアを募集しています。
46,オフィスのレイアウト変更について提案があります。
47,廃棄物（粗大ごみ）の処理方法を教えてください。
48,ビル全体の停電の通知がありましたが、詳細を教えてください。
49,オフィスの清掃スケジュールについて教えてください。
50,慶弔休暇の��請方法について教えてください。
51,ストレスチェックの受検方法がわかりません。
52,産業医との面談を希望します。手続きを教えてください。
53,扶養家族の追加手続きについて教えてください。
54,通勤経路の変更を申請したいです。
55,社員持株会の申し込み方法について教えてください。
56,資格取得支援制度について詳細を知りたいです。
57,人事評価のフィードバック面談の日程調整をお願いします。
58,キャリアプランに関する相談をしたいです。
59,PCがウイルスに感染した可能性があります。至急確認をお願いします。
60,フィッシング詐欺と思われるメールを受信しました。どのように対応すればよいですか？
61,業務で使用するソフトウェアのライセンスを追加購入したいです。
62,サーバー室への入室許可を申請します。
63,データバックアップのスケジュールについて教えてください。
64,社内システムのUIが使いにくいです。改善を要望します。
65,テレワーク用のPC貸与を申請したいです。
66,情報セキュリティに関する研修の案内はありますか？
67,社内SNSのアカウント作成方法を教えてください。
68,基幹システムで障害が発生しているようです。復旧の見込みを教えてください。
69,名刺の追加発注をお願いします。
70,会社の代表電話への問い合わせの取次ぎ方法について教えてください。
71,オフィスに設置されている自動販売機の品揃えを増やしてほしいです。
72,社内のサークル活動について教えてください。
73,長期出張時の宿泊先の手配について相談したいです。
74,オフィスのBGMの音量が大きすぎると感じます。
75,稟議書の電子申請システムの使い方がわかりません。
76,経費精算の締め日と支払日を教えてください。
77,領収書を紛失した場合の経費精算方法を教えてください。
78,仮払金の申請方法について教えてください。
79,出張報告書の提出期限はいつまでですか？
80,インフルエンザの予防接種の補助について教えてください。
81,休職に関する手続きについて教えてください。
82,時短勤務の申請条件について知りたいです。
83,社員紹介制度について詳細を教えてください。
84,コンプライアンス研修の資料を再度共有してほしいです。
85,海外出張の際のビザ申請についてサポートをお願いします。
86,PCの��面が突然真っ暗になりました。
87,キーボードの一部のキーが反応しません。
88,貸与されている携帯電話を紛失しました。緊急の対応をお願いします。
89,新しいプロジェクト管理ツールの導入を検討してほしいです。
90,社内システムの動作が全体的に遅いです。サーバーの負荷が高いのでしょうか？
91,机の引き出しの鍵が壊れてしまいました。
92,社内の分煙ルールについて、改めて周知をお願いします。
93,健康保険証の再発行手続きについて教えてください。
94,雇用契約書の内容について確認したい点があります。
95,社内公募制度に応募したいのですが、手順を教えてください。
96,PCの電源が入りません。
97,Webサイトの閲覧履歴は記録されていますか？
98,退職金の計算方法について教えてください。
99,オフィスの空調が寒すぎます。設定温度を上げてください。
100,顧客情報の取り扱いに関するガイドラインはどこで確認できますか？
101,パソコンのログインパスワードの有効期限が切れそうです。
102,VPN接続が不安定で、頻繁に切断されます。
103,プリンターのトナー交換をお願いします。
104,Web会議で自分の��が相手に届かないようです。
105,社内ポータルサイトに新しい情報を掲載してほしいです。
106,年末調整の書類提出はいつまでですか？
107,交通費精算で、申請ルートと異なる経路を使っても問題ないですか？
108,社員食堂のメニューを教えてください。
109,在宅勤務手当はどのように支給されますか？
110,PCの動作が遅いため、メモリの増設を検討してほしいです。
